gene ID,gene_symbol,UniGene symbol,GenBank_id,Accession,gene_name,organism,p-value,sample,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_control,max_age_of_control,min_age_of_experiment,max_age_of_experiment,link,change_type,n_of_control,n_of_experiment,percent_of_change,FC,logFC,q-value,FDR
,SCAP2,,,NM_003930.3,,human,"0,000000253",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,40,"1,4",,,
,SCAPER,ZNF291,,,Zinc finger protein 291,human,"0,0019",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"15,7613573",1.157613573,,,7.425651557
AB032261,SCD,,,,stearoyl-CoA desaturase (delta-9-desaturase),human,"0,01210083195",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-38,27160494","1,62",,,
,SCGF,,,NM_002975.2,,human,"0,000000742",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
NM_006746,SCML1,,,,sex comb on midleg-like 1 (Drosophila),human,"0,0003578683034",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-55,15695067","2,23",,,
,SCN10A,SCN10A,,,"sodium channel, voltage-gated, type X, alpha polypeptide",human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-21,3498953",0.786501047,,,6.354174563
,SCN2B,,,AF049498,"sodium channel, voltage-gated, type II, beta",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,decreased gene expression,,30,"-80,35363458",-5.09,,0.002142,
,SCN4B,,,NM_174934.1,,human,"0,0272942",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,SCP2,,,U11313,sterol carrier protein 2,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,64,1.64,,0.002142,
NM_021626,SCPEP1,,,,likely homolog of rat and mouse retinoid-inducible serine carboxypeptidase,human,"0,02838526332",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,102,"2,02",,,
,SDC2,,,J04621,syndecan 2,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,101,02.01,,0.002142,
,SDHB,,,NM_003000.1,,human,"0,0001474",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,SDHC,SDHC,,,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kD",human,"0,0207",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-12,9605094",0.870394906,,,8.585534989
,SDHC,,,NM_003001.2,,human,"0,0009342",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,SE20-4,,,NM_022117.1,,human,"0,0000914",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
NM_006364,SEC23A,,,,Sec23 homolog A (S. cerevisiae),human,"0,001247620637",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-39,39393939","1,65",,,
NM_013336,SEC61A1,,,,Sec61 alpha 1 subunit (S. cerevisiae),human,"7,59E-05",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,53,"1,53",,,
,SEC63L,SEC63L,,,"SEC63, endoplasmic reticulum translocon component (S. cerevisiae) like",human,"0,00016",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"20,7628074",1.207628074,,,4.695695038
,SEL1L3,KIAA0746,,,KIAA0746 protein,human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,-27,0.72134384,-0.47124098796284425,8.175499961,
,SELENOP,,,Z11793,"selenoprotein P, plasma, 1",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,74,1.74,,0.002142,
NM_000655,SELL,,,,selectin L (lymphocyte adhesion molecule 1),human,"3,32E-06",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-48,71794872","1,95",,,
,SELM,,,NM_080430.1,,human,"0,00000574",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,70,"1,7",,,
U02297,SELPLG,,,,selectin P ligand,human,"0,002040490919",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-42,19653179","1,73",,,
,SEMA3B,,,U73167,semaphorin 3B,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,82,1.82,,0.005124108,
NM_020654,SENP7,,,,sentrin/SUMO-specific protease,human,"0,005602391537",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-43,50282486","1,77",,,
,SEPT10,,,AL049934,septin 10,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,92,1.92,,0.003812139,
,SEPT4,,,AF035811,peanut-like 2 (Drosophila),human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,76,1.76,,0.007611041,
BF966021,SEPTIN10,,,,septin 10,human,"0,005183906214",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,104,"2,05",,,
AK026589,SEPTIN6,,,,septin 6,human,"0,009918897841",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-37,88819876","1,61",,,
NM_015640,SERBP1,,,,PAI-1 mRNA-binding protein,human,"0,01889723994",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-37,88819876","1,61",,,
,SERINC3,TDE1,,,Tumor differentially expressed 1,human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"16,6309956",1.166309956,,,8.175499961
,SERPINA4,SERPINA4,,,kallistatin,human,"0,0019",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-18,6045184",0.813954816,,,7.425651557
,SERPINF1,SERPINF1,,,"serine (or cysteine) proteinase inhibitor, clade F",human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-15,1438244",0.848561756,,,8.175499961
BG107456,SERTAD2,,,,transcriptional regulator interacting with the PHS-bromodomain 2,human,"0,002018472827",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-48,45360825","1,94",,,
NM_005877,SF3A1,,,,"splicing factor 3a, subunit 1, 120kDa",human,"0,01544704479",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-35,48387097","1,55",,,
,SF3B2,,,XM_290506.2,,human,"0,0104992",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
,SFPQ,SFPQ,,,splicing factor prolineglutamine rich (polypyrimidine tract-binding protein-associated) (SFPQ),human,"0,0019",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"27,1376126",1.271376126,,,2.835248776
NM_005066,SFPQ,,,,splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated),human,"0,000283442685",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,96,"1,96",,,
,SFRS11,SFRS11,,,"splicing factor, arginineserine-rich 11",human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"27,9956289",1.279956289,,,5.385423359
AW241752,SFRS11,,,,"splicing factor, arginine/serine-rich 11",human,"0,02300945816",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,97,"1,97",,,
,SFRS4,,,NM_005626.3,,human,"0,0058772",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
U30884,SFRS5,,,,"splicing factor, arginine/serine-rich 5",human,"0,003982393123",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-52,15311005","2,09",,,
,SFXN4,,,NM_178867.3,,human,"0,0010017",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
NM_005627,SGK1,,,,serum/glucocorticoid regulated kinase,human,"0,0002051774958",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,524,"6,24",,,
NM_030791,SGPP1,,,,sphingosine-1-phosphate phosphatase 1 /// sphingosine-1-phosphate phosphatase 1 /// sphingosine-1-phosphate phosphatase 1,human,"0,005269407068",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,-50,2,,,
,SGTA,SGT,,,small glutamine-rich tetratricopeptide repeat (TPR)-containing,human,"0,00031",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-25,508446",0.74491554,,,4.083053576
NM_005475,SH2B3,,,,lymphocyte adaptor protein,human,"0,0001589837262",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,99,"1,99",,,
AF100542,SH2D1A,,,,"SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)",human,"0,01550544046",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-54,95495495","2,22",,,
NM_004844,SH3BP5,,,,SH3-domain binding protein 5 (BTK-associated),human,"0,001435227632",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,212,"3,12",,,
,SH3KBP1,,,NM_031892.1,,human,"0,0025626",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-40,"0,6",,,
,SIAT7B,,,NM_006456.1,,human,"0,0291252",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,SIAT8E,,,NM_013305.2,,human,"0,0001189",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-40,"0,6",,,
,SIN3A,,,NM_015477.1,,human,"0,0245017",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
,SIRT1,SIRT1,,,"sirtuin (silent mating type information regulation 2, S. cerevisiae, homolog) 1",human,"0,0019",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"16,1021338",1.161021338,,,7.08522883
,SIRT4,,,NM_012240.1,,human,"0,0003246",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,SIRT5,SIRT5,,,"sirtuin (silent mating type information regulation 2, S.cerevisiae, homolog) 5 (SIRT5), transcript variant 1",human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-16,9886999",0.830113001,,,5.234573694
,SIRT5,,,NM_012241.2,,human,"0,0044335",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
NM_014450,SIT1,,,,SHP2 interacting transmembrane adaptor /// SHP2 interacting transmembrane adaptor,human,"0,01522258769",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-43,18181818","1,76",,,
NM_003930,SKAP2,,,,src family associated phosphoprotein 2,human,"6,18E-05",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,317,"4,17",,,
NM_005414,SKIL,,,,SKI-like,human,"0,01231998129",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-39,75903614","1,66",,,
NM_021181,SLAMF7,,,,SLAM family member 7,human,"0,001570448722",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,129,"2,29",,,
,SLBP,,,NM_006527.2,,human,"0,0007138",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
,SLC12A2,SLC12A2,,,"solute carrier family 12 (sodium potassium chloride transporters), member 2",human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-20,1483633",0.798516367,,,7.08522883
NM_005135,SLC12A6,,,,"solute carrier family 12 (potassium/chloride transporters), member 6",human,"8,01E-05",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-59,51417004","2,47",,,
,SLC14A1,,,U35735,"solute carrier family 14 (urea transporter), member 1",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,144,2.44,,0.007611041,
,SLC15A4,,,NM_145648.1,,human,"0,0259137",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
,SLC16A3,,,NM_004207.1,,human,"0,0024144",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-60,"0,4",,,
,SLC25A11,,,NM_003562.3,,human,"0,00000583",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,SLC25A12,SLC25A12,,,"solute carrier family 25 (mitochondrial carrier, Aralar), member 12",human,"0,0104",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-14,6553214",0.853446786,,,9.271695889
,SLC25A12,,,NM_003705.2,,human,"0,0000448",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-40,"0,6",,,
,SLC25A19,,,NM_021734.3,,human,"0,0122818",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,SLC25A28,,,NM_031212.2,,human,"0,0136958",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
AF288410,SLC26A6,,,,"solute carrier family 26, member 6",human,"0,02326536743",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,72,"1,72",,,
BC003654,SLC27A3,,,,"solute carrier family 27 (fatty acid transporter), member 3",human,"0,001529391436",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,88,"1,89",,,
,SLC38A1,,,NM_030674.2,,human,"0,0015045",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-50,"0,5",,,
,SLC43A2,MGC34680,,,hypothetical protein MGC34680,human,"0,0047",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,37,1.3729281231111552,0.4572560980666214,7.425651557,
,SLC4A4,SLC4A4,,,"solute carrier family 4, sodium bicarbonate cotransporter, member 4",human,"0,0011",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-19,6158704",0.803841296,,,5.234573694
AB018009,SLC7A5,,,,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5",human,"0,01356036585",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,134,"2,34",,,
,SLC7A6,SLC7A6,,,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 6",human,"0,00062",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"49,9027865",1.499027865,,,1.555448981
,SLC7A6,SLC7A6,,,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 6",human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"36,9943089",1.369943089,,,5.506014094
NM_003983,SLC7A6,,,,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 6",human,"0,0001054420291",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-50,4950495","2,02",,,
,SLC7A6,,,NM_003983.1,,human,"0,00000511",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,80,"1,8",,,
,SLC9A2,SLC9A2,,,"solute carrier family 9 (sodium hydrogen exchanger), isoform 2",human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-34,3937537",0.656062463,,,7.08522883
,SLCO3A1,SLC21A11,,,"Solute carrier family 21 (organic anion transporter), member 11",human,"0,0104",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-20,4530033",0.795469967,,,9.271695889
,SLPI,,,NM_003064.2,,human,"0,000000485",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,190,"2,9",,,
,SLU7,SLU7,,,step II splicing factor SLU7,human,"0,0104",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"33,69331951",1.3369331951332604,,,8.175499961
,SLX1B,MGC5178,,,hypothetical protein MGC5178,human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-31,5030388",0.684969612,,,7.425651557
U65019,SMAD2,,,,"MAD, mothers against decapentaplegic homolog 2 (Drosophila)",human,"0,0001381270858",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-47,36842105","1,9",,,
NM_005902,SMAD3,,,,"MAD, mothers against decapentaplegic homolog 3 (Drosophila)",human,"0,006344101315",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,104,"2,04",,,
NM_005359,SMAD4,,,,"MAD, mothers against decapentaplegic homolog 4 (Drosophila)",human,"0,001472783749",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-38,27160494","1,62",,,
AI684141,SMARCA4,,,,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",human,"0,01975046539",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,74,"1,74",,,
NM_003601,SMARCA5,,,,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5",human,"0,006176369199",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-35,8974359","1,56",,,
,SMARCE1,SMARCE1,,,"SWISNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"14,8890478",1.148890478,,,5.074085998
NM_003079,SMARCE1,,,,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",human,"0,02586803134",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-34,21052632","1,52",,,
,SMC3,,,AF020043,chondroitin sulfate proteoglycan 6 (bamacan),human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,79,1.79,,0.003812139,
BF795297,SMC3,,,,chondroitin sulfate proteoglycan 6 (bamacan),human,"0,01337959063",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-60,31746032","2,52",,,
NM_005496,SMC4,,,,SMC4 structural maintenance of chromosomes 4-like 1 (yeast),human,"0,0009497916107",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-41,17647059","1,70",,,
,SMC5,,,AB011166,SMC5 structural maintenance of chromosomes 5-like 1 (yeast),human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,76,1.76,,0.006478758,
AA868754,SMCHD1,,,,KIAA0650 protein,human,"0,001157446142",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-40,47619048","1,68",,,
BF224259,SMNDC1,,,,survival motor neuron domain containing 1,human,"0,0002000536293",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-35,48387097","1,55",,,
,SMT3H1,,,NM_006936.1,,human,"0,0044975",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
,SMT3H2,SMT3H2,,,suppressor of mif two 3 homolog 2 (yeast) (sentrin 2),human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"16,7654637",1.167654637,,,5.506014094
,SNAI2,,,NM_003068.3,,human,"0,01351",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
